date,sfu
20050101,95.6
20050102,96.7
20050103,91.0
20050104,85.1
20050105,85.3
20050106,80.4
20050107,80.7
20050108,85.6
20050109,84.6
20050110,87.1
20050111,91.1
20050112,98.8
20050113,111.9
20050114,125.6
20050115,140.2
20050116,139.8
20050117,133.1
20050118,120.3
20050119,128.3
20050120,118.8
20050121,109.9
20050122,99.1
20050123,92.8
20050124,91.7
20050125,91.2
20050126,86.6
20050127,84.3
20050128,82.4
20050129,83.9
20050130,82.9
20050131,83.6
20050201,81.3
20050202,79.4
20050203,80.7
20050204,79.8
20050205,92.0
20050206,94.3
20050207,100.3
20050208,105.4
20050209,105.8
20050210,111.1
20050211,111.2
20050212,113.5
20050213,112.7
20050214,115.2
20050215,118.7
20050216,110.2
20050217,108.8
20050218,101.8
20050219,96.3
20050220,93.6
20050221,92.5
20050222,90.4
20050223,82.8
20050224,78.6
20050225,76.7
20050226,75.1
20050227,74.4
20050228,73.6
20050301,72.4
20050302,73.4
20050303,75.7
20050304,77.7
20050305,79.9
20050306,82.3
20050307,85.7
20050308,92.2
20050309,98.5
20050310,100.3
20050311,103.6
20050312,108.8
20050313,112.5
20050314,110.3
20050315,107.0
20050316,103.6
20050317,100.4
20050318,95.7
20050319,92.2
20050320,88.3
20050321,89.1
20050322,86.7
20050323,87.1
20050324,86.6
20050325,81.7
20050326,77.4
20050327,78.1
20050328,79.4
20050329,78.6
20050330,77.5
20050331,76.5
20050401,78.2
20050402,80.2
20050403,81.1
20050404,84.9
20050405,88.5
20050406,88.2
20050407,88.0
20050408,87.9
20050409,88.8
20050410,88.6
20050411,87.9
20050412,85.3
20050413,84.0
20050414,86.0
20050415,85.5
20050416,83.6
20050417,84.2
20050418,82.0
20050419,78.9
20050420,77.8
20050421,77.9
20050422,78.1
20050423,80.2
20050424,83.2
20050425,87.1
20050426,92.1
20050427,96.6
20050428,99.4
20050429,106.5
20050430,108.0
20050501,113.4
20050502,114.0
20050503,114.2
20050504,110.6
20050505,111.0
20050506,112.4
20050507,101.8
20050508,103.2
20050509,112.2
20050510,121.6
20050511,127.9
20050512,119.9
20050513,128.6
20050514,101.7
20050515,105.2
20050516,101.4
20050517,92.0
20050518,85.8
20050519,86.7
20050520,85.6
20050521,83.9
20050522,84.2
20050523,85.5
20050524,87.4
20050525,86.0
20050526,92.8
20050527,98.1
20050528,95.1
20050529,95.3
20050530,97.5
20050531,99.0
20050601,96.9
20050602,96.0
20050603,98.0
20050604,99.8
20050605,108.6
20050606,109.2
20050607,112.4
20050608,119.3
20050609,119.7
20050610,117.9
20050611,111.4
20050612,106.3
20050613,94.7
20050614,96.8
20050615,97.5
20050616,101.3
20050617,93.7
20050618,92.9
20050619,89.8
20050620,88.9
20050621,85.5
20050622,82.1
20050623,80.1
20050624,79.2
20050625,79.3
20050626,81.3
20050627,80.0
20050628,82.6
20050629,91.9
20050630,105.9
20050701,118.5
20050702,128.0
20050703,134.1
20050704,127.8
20050705,131.0
20050706,127.2
20050707,129.1
20050708,114.2
20050709,110.2
20050710,105.2
20050711,96.4
20050712,98.5
20050713,94.8
20050714,92.9
20050715,90.1
20050716,78.8
20050717,76.5
20050718,74.4
20050719,73.5
20050720,74.4
20050721,75.2
20050722,75.9
20050723,82.7
20050724,82.8
20050725,86.5
20050726,89.2
20050727,93.4
20050728,98.7
20050729,106.9
20050730,108.2
20050731,113.1
20050801,114.6
20050802,113.5
20050803,112.2
20050804,109.2
20050805,101.7
20050806,96.1
20050807,94.9
20050808,88.9
20050809,84.7
20050810,78.3
20050811,77.9
20050812,78.3
20050813,77.4
20050814,76.7
20050815,77.7
20050816,77.7
20050817,78.9
20050818,84.7
20050819,95.3
20050820,100.4
20050821,100.8
20050822,107.2
20050823,109.3
20050824,100.7
20050825,94.4
20050826,95.2
20050827,94.0
20050828,91.6
20050829,90.9
20050830,87.6
20050831,85.6
20050901,80.6
20050902,78.5
20050903,75.4
20050904,75.8
20050905,76.2
20050906,84.7
20050907,93.6
20050908,95.5
20050909,100.6
20050910,117.6
20050911,111.1
20050912,119.5
20050913,115.0
20050914,117.9
20050915,120.6
20050916,112.9
20050917,104.9
20050918,103.2
20050919,91.9
20050920,88.5
20050921,86.7
20050922,84.3
20050923,83.3
20050924,81.9
20050925,81.4
20050926,81.7
20050927,77.2
20050928,74.9
20050929,74.0
20050930,72.4
20051001,72.3
20051002,75.0
20051003,74.4
20051004,82.7
20051005,81.3
20051006,79.4
20051007,78.7
20051008,78.0
20051009,78.7
20051010,78.8
20051011,77.3
20051012,76.5
20051013,77.6
20051014,78.0
20051015,79.1
20051016,78.7
20051017,77.5
20051018,77.7
20051019,77.2
20051020,76.0
20051021,74.6
20051022,74.0
20051023,73.4
20051024,72.5
20051025,72.1
20051026,71.2
20051027,70.7
20051028,72.1
20051029,73.1
20051030,74.5
20051031,76.7
20051101,76.1
20051102,76.8
20051103,75.5
20051104,76.1
20051105,77.9
20051106,80.3
20051107,78.0
20051108,77.9
20051109,76.6
20051110,76.4
20051111,77.0
20051112,81.4
20051113,86.0
20051114,90.4
20051115,97.8
20051116,91.8
20051117,98.2
20051118,98.8
20051119,99.6
20051120,94.1
20051121,92.4
20051122,90.3
20051123,87.5
20051124,84.4
20051125,77.9
20051126,78.7
20051127,78.6
20051128,79.7
20051129,82.4
20051130,92.0
20051201,95.5
20051202,103.3
20051203,98.4
20051204,92.5
20051205,89.0
20051206,86.5
20051207,86.3
20051208,86.9
20051209,86.4
20051210,88.7
20051211,90.2
20051212,85.6
20051213,85.2
20051214,86.8
20051215,84.2
20051216,83.1
20051217,82.5
20051218,82.8
20051219,86.6
20051220,84.9
20051221,83.7
20051222,84.8
20051223,90.1
20051224,88.9
20051225,88.8
20051226,89.5
20051227,89.2
